id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relation_ships,attribute_object,attribute_event
item_10_0,Select,2026-03-20 00:41:10,2026-03-20 00:41:10,2026-03-20 00:52:58,Role Order 1,Pete,42,42,42,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_10'},{'Price': 725},{}
item_10_0,Pick Item,2026-03-20 00:52:58,2026-03-20 00:52:58,2026-03-20 00:57:13,Role Order 2,Bob,42,42,42,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_10'},{'Price': 725},{}
order_11,Place Order,2026-03-19 19:55:04,2026-03-20 00:00:00,2026-03-20 01:02:47,Role 1,Sue,14,41,42,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,9,['Place Order'],"{'item_11_1', 'item_11_0'}",{},{}
item_11_1,Select,2026-03-20 01:02:47,2026-03-20 01:02:47,2026-03-20 01:12:52,Role Order 1,Pete,44,44,44,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_11'},{'Price': 765},{}
item_11_0,Select,2026-03-20 01:02:47,2026-03-20 01:02:47,2026-03-20 01:15:08,Role Order 1,Sue,44,44,44,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_11'},{'Price': 718},{}
item_11_0,Remove Item,2026-03-20 01:15:08,2026-03-20 01:15:08,2026-03-20 01:18:35,Role Order 1,Pete,44,44,44,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",0.5,0,"['Select', 'Remove Item']",{'order_11'},{'Price': 718},{}
item_11_1,Pick Item,2026-03-20 01:12:52,2026-03-20 01:12:52,2026-03-20 01:25:18,Role Order 2,Bob,44,44,43,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_11'},{'Price': 765},{}
order_12,Place Order,2026-03-19 19:55:55,2026-03-20 00:41:10,2026-03-20 01:43:49,Role 1,Pete,15,42,43,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,10,['Place Order'],"{'item_12_0', 'item_12_1'}",{},{}
item_12_1,Select,2026-03-20 01:43:49,2026-03-20 01:43:49,2026-03-20 01:50:05,Role Order 1,Pete,45,45,45,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_12'},{'Price': 95},{}
item_12_1,Pick Item,2026-03-20 01:50:05,2026-03-20 01:50:05,2026-03-20 01:56:36,Role Order 2,Bob,45,45,45,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_12'},{'Price': 95},{}
